Passager,i,j
1,5.0,3.0
2,16.0,5.0
3,25.0,5.0
4,23.0,2.0
5,15.0,6.0
6,15.0,7.0
7,21.0,7.0
8,12.0,1.0
9,5.0,2.0
10,5.0,1.0
11,12.0,7.0
12,20.0,3.0
13,14.0,7.0
14,14.0,6.0
15,4.0,1.0
16,29.0,3.0
17,29.0,7.0
18,29.0,6.0
19,15.0,1.0
20,7.0,5.0
21,2.0,2.0
22,2.0,3.0
23,11.0,5.0
24,24.0,6.0
25,24.0,3.0
26,24.0,5.0
27,24.0,7.0
28,3.0,3.0
29,3.0,2.0
30,3.0,1.0
31,3.0,5.0
32,17.0,1.0
33,17.0,2.0
34,17.0,3.0
35,3.0,7.0
36,1.0,7.0
37,1.0,6.0
38,22.0,2.0
39,22.0,1.0
40,6.0,7.0
41,22.0,3.0
42,29.0,2.0
43,29.0,1.0
44,13.0,1.0
45,15.0,5.0
46,12.0,3.0
47,8.0,2.0
48,8.0,1.0
49,28.0,6.0
50,14.0,5.0
51,7.0,7.0
52,7.0,6.0
53,4.0,3.0
54,4.0,2.0
55,23.0,7.0
56,12.0,6.0
57,13.0,3.0
58,8.0,7.0
59,8.0,6.0
60,1.0,5.0
61,26.0,7.0
62,22.0,5.0
63,26.0,1.0
64,19.0,5.0
65,18.0,6.0
66,18.0,7.0
67,6.0,1.0
68,5.0,5.0
69,4.0,5.0
70,28.0,5.0
71,25.0,1.0
72,17.0,7.0
73,17.0,6.0
74,3.0,6.0
75,2.0,7.0
76,27.0,5.0
77,20.0,6.0
78,20.0,5.0
79,25.0,3.0
80,25.0,2.0
81,7.0,2.0
82,7.0,3.0
83,23.0,3.0
84,5.0,6.0
85,5.0,7.0
86,10.0,1.0
87,21.0,1.0
88,21.0,2.0
89,27.0,3.0
90,11.0,2.0
91,11.0,1.0
92,12.0,2.0
93,28.0,3.0
94,28.0,2.0
95,28.0,1.0
96,12.0,5.0
97,20.0,2.0
98,27.0,6.0
99,27.0,7.0
100,23.0,1.0
101,18.0,1.0
102,10.0,6.0
103,10.0,7.0
104,22.0,6.0
105,13.0,6.0
106,4.0,7.0
107,8.0,3.0
108,7.0,1.0
109,2.0,6.0
110,2.0,5.0
111,13.0,2.0
112,26.0,5.0
113,9.0,2.0
114,10.0,3.0
115,10.0,5.0
116,9.0,1.0
117,9.0,3.0
118,8.0,5.0
119,4.0,6.0
120,1.0,2.0
121,1.0,3.0
122,21.0,3.0
123,10.0,2.0
124,22.0,7.0
125,1.0,1.0
126,19.0,2.0
127,19.0,3.0
128,23.0,5.0
129,24.0,2.0
130,6.0,6.0
131,6.0,5.0
132,11.0,7.0
133,14.0,3.0
134,29.0,5.0
135,13.0,5.0
136,27.0,2.0
137,27.0,1.0
138,9.0,5.0
139,6.0,3.0
140,6.0,2.0
141,16.0,1.0
142,16.0,2.0
143,11.0,6.0
144,11.0,3.0
145,13.0,7.0
146,14.0,1.0
147,14.0,2.0
148,15.0,2.0
149,15.0,3.0
150,9.0,6.0
151,9.0,7.0
152,2.0,1.0
