Passager,i,j
1,10.0,3.0
2,10.0,6.0
3,9.0,1.0
4,9.0,3.0
5,10.0,7.0
6,9.0,7.0
7,10.0,1.0
8,10.0,5.0
9,10.0,2.0
10,9.0,2.0
11,9.0,5.0
12,24.0,3.0
13,24.0,5.0
14,24.0,2.0
15,24.0,1.0
16,25.0,1.0
17,25.0,3.0
18,23.0,6.0
19,23.0,3.0
20,23.0,2.0
21,8.0,6.0
22,8.0,5.0
23,27.0,7.0
24,8.0,3.0
25,8.0,2.0
26,8.0,1.0
27,2.0,6.0
28,2.0,7.0
29,2.0,5.0
30,12.0,6.0
31,13.0,5.0
32,12.0,2.0
33,13.0,6.0
34,12.0,3.0
35,12.0,5.0
36,13.0,3.0
37,13.0,2.0
38,11.0,6.0
39,11.0,5.0
40,2.0,2.0
41,2.0,3.0
42,24.0,6.0
43,22.0,2.0
44,27.0,3.0
45,27.0,5.0
46,2.0,1.0
47,15.0,5.0
48,21.0,7.0
49,21.0,6.0
50,14.0,7.0
51,28.0,1.0
52,18.0,7.0
53,4.0,6.0
54,5.0,2.0
55,4.0,2.0
56,5.0,7.0
57,4.0,5.0
58,5.0,3.0
59,5.0,6.0
60,5.0,5.0
61,4.0,3.0
62,6.0,3.0
63,6.0,6.0
64,6.0,7.0
65,6.0,1.0
66,4.0,7.0
67,6.0,5.0
68,4.0,1.0
69,5.0,1.0
70,20.0,5.0
71,18.0,5.0
72,20.0,6.0
73,22.0,3.0
74,20.0,2.0
75,22.0,1.0
76,18.0,3.0
77,18.0,6.0
78,19.0,2.0
79,19.0,6.0
80,22.0,6.0
81,18.0,1.0
82,18.0,2.0
83,20.0,3.0
84,20.0,1.0
85,22.0,5.0
86,19.0,1.0
87,3.0,7.0
88,3.0,3.0
89,17.0,3.0
90,29.0,7.0
91,29.0,6.0
92,25.0,2.0
93,27.0,1.0
94,15.0,2.0
95,28.0,2.0
96,7.0,6.0
97,7.0,5.0
98,7.0,7.0
99,17.0,2.0
100,3.0,5.0
101,7.0,1.0
102,1.0,7.0
103,1.0,3.0
104,1.0,5.0
105,1.0,6.0
106,28.0,5.0
107,28.0,6.0
108,26.0,6.0
109,26.0,7.0
110,6.0,2.0
111,27.0,2.0
112,23.0,7.0
113,3.0,1.0
114,3.0,2.0
115,11.0,3.0
116,14.0,2.0
117,14.0,3.0
118,16.0,1.0
119,8.0,7.0
120,11.0,2.0
121,14.0,6.0
122,26.0,2.0
123,15.0,6.0
124,15.0,7.0
125,21.0,3.0
126,21.0,1.0
127,21.0,2.0
128,21.0,5.0
129,17.0,7.0
130,17.0,6.0
131,17.0,5.0
132,27.0,6.0
133,1.0,2.0
134,1.0,1.0
135,29.0,5.0
136,3.0,6.0
137,28.0,3.0
