Passager,i,j
1,3.0,6.0
2,3.0,2.0
3,2.9999999999509805,1.0000015792514714
4,2.9999999999509805,4.99999842465049
5,3.0,3.0
6,7.0,3.0
7,7.0,2.0
8,2.0,7.0
9,2.0,6.0
10,14.0,6.0
11,14.0,3.0
12,14.0,5.0
13,14.0,2.0
14,28.0,5.0
15,9.0,3.0
16,9.0,2.0
17,9.0,7.0
18,9.0,5.0
19,9.0,6.0
20,22.0,3.0
21,26.0,2.0
22,20.0,7.0
23,20.0,6.0
24,5.0,6.0
25,6.0,2.0
26,5.0,2.0
27,4.0,6.0
28,6.0,6.0
29,4.0,7.0
30,5.0,3.0
31,5.0,7.0
32,6.0,5.0
33,6.0,3.0
34,4.0,3.0
35,5.0,5.0
36,6.0,7.0
37,4.0,5.0
38,5.0,1.0
39,2.0,2.0
40,2.0,1.0
41,2.0,3.0
42,7.0,1.0
43,17.0,2.0
44,13.0,7.0
45,29.0,3.0
46,12.0,5.0
47,2.0,5.0
48,23.0,5.0
49,4.0,2.0
50,4.0,1.0
51,19.0,1.0
52,15.0,7.0
53,11.0,1.0
54,18.0,6.0
55,18.0,7.0
56,13.0,3.0
57,26.0,3.0
58,21.0,7.0
59,16.0,6.0
60,19.0,6.0
61,19.0,5.0
62,18.0,5.0
63,7.0,7.0
64,19.0,2.0
65,11.0,7.0
66,11.0,6.0
67,1.0,7.0
68,11.0,5.0
69,8.0,1.0
70,8.0,2.0
71,6.0,1.0
72,22.0,1.0
73,15.0,6.0
74,26.0,1.0
75,19.0,7.0
76,22.0,2.0
77,12.0,7.0
78,12.0,6.0
79,23.0,2.0
80,14.0,1.0
81,28.0,3.0
82,23.0,7.0
83,7.0,6.0
84,22.0,7.0
85,19.0,3.0
86,13.0,2.0
87,10.0,6.0
88,10.0,5.0
89,10.0,7.0
90,24.0,1.0
91,29.0,1.0
92,23.0,1.0
93,17.0,6.0
94,17.0,7.0
95,17.0,3.0
96,17.0,5.0
97,28.0,7.0
98,13.0,1.0
99,14.0,7.0
100,11.0,2.0
101,16.0,7.0
102,10.0,2.0
103,10.0,1.0
104,28.0,2.0
105,18.0,1.0
106,18.0,2.0
107,27.0,6.0
108,27.0,7.0
109,13.0,6.0
110,12.0,1.0
111,9.0,1.0
112,23.0,6.0
113,13.0,5.0
114,25.0,1.0
115,18.0,3.0
116,23.0,3.0
117,29.0,5.0
118,16.0,3.0
119,12.0,3.0
120,12.0,2.0
121,3.0,7.0
122,8.0,7.0
123,8.0,5.0
124,8.0,6.0
125,8.0,3.0
126,24.0,3.0
127,25.0,3.0
128,26.0,5.0
129,26.0,7.0
130,26.0,6.0
131,25.0,6.0
132,24.0,7.0
133,24.0,2.0
134,24.0,5.0
135,25.0,2.0
136,24.0,6.0
137,25.0,7.0
138,7.0,5.0
139,15.0,5.0
140,15.0,2.0
141,15.0,1.0
142,15.0,3.0
143,11.0,3.0
144,16.0,5.0
145,21.0,3.0
146,21.0,1.0
147,20.0,1.0
148,20.0,3.0
149,20.0,2.0
150,21.0,5.0
151,21.0,2.0
152,20.0,5.0
153,17.0,1.0
154,25.0,5.0
155,10.0,3.0
156,27.0,5.0
157,1.0,6.0
158,1.0,3.0
159,1.0,5.0
160,1.0,2.0
161,1.0,1.0
162,16.0,1.0
163,22.0,6.0
164,22.0,5.0
