Passager,i,j
1,27.0,2.0
2,19.0,5.0
3,2.0,3.0
4,2.0,2.0
5,25.0,5.0
6,22.0,5.0
7,20.0,6.0
8,20.0,7.0
9,25.0,7.0
10,18.0,5.0
11,18.0,6.0
12,23.0,2.0
13,28.0,2.0
14,18.0,2.0
15,17.0,1.0
16,2.0,1.0
17,15.0,3.0
18,15.0,2.0
19,29.0,1.0
20,19.0,3.0
21,28.0,6.0
22,21.0,2.0
23,18.0,7.0
24,29.0,3.0
25,9.0,1.0
26,25.0,2.0
27,28.0,5.0
28,7.0,2.0
29,24.0,3.0
30,14.0,1.0
31,14.0,2.0
32,29.0,6.0
33,29.0,5.0
34,4.0,6.0
35,3.0,6.0
36,3.0,5.0
37,6.0,5.0
38,4.0,3.0
39,7.0,1.0
40,5.0,5.0
41,7.0,3.0
42,6.0,1.0
43,4.0,1.0
44,6.0,3.0
45,5.0,3.0
46,3.0,3.0
47,3.0,7.0
48,4.0,7.0
49,7.0,5.0
50,5.0,7.0
51,6.0,7.0
52,4.0,5.0
53,22.0,1.0
54,15.0,5.0
55,16.0,1.0
56,27.0,3.0
57,4.0,2.0
58,11.0,1.0
59,11.0,2.0
60,21.0,6.0
61,13.0,6.0
62,13.0,7.0
63,16.0,3.0
64,16.0,2.0
65,12.0,1.0
66,27.0,6.0
67,26.0,2.0
68,1.0,5.0
69,14.0,5.0
70,16.0,6.0
71,16.0,7.0
72,17.0,2.0
73,17.0,3.0
74,27.0,7.0
75,29.0,7.0
76,13.0,3.0
77,13.0,2.0
78,13.0,1.0
79,23.0,3.0
80,17.0,5.0
81,24.0,6.0
82,23.0,5.0
83,26.0,7.0
84,26.0,1.0
85,13.0,5.0
86,9.0,3.0
87,9.0,2.0
88,27.0,5.0
89,25.0,1.0
90,23.0,7.0
91,19.0,2.0
92,22.0,7.0
93,22.0,2.0
94,1.0,2.0
95,1.0,1.0
96,11.0,6.0
97,11.0,5.0
98,15.0,1.0
99,10.0,1.0
100,10.0,2.0
101,12.0,7.0
102,12.0,6.0
103,8.0,2.0
104,8.0,1.0
105,24.0,1.0
106,10.0,3.0
107,26.0,5.0
108,26.0,3.0
109,1.0,6.0
110,1.0,7.0
111,23.0,1.0
112,23.0,6.0
113,24.0,2.0
114,12.0,3.0
115,12.0,2.0
116,6.0,2.0
117,24.0,5.0
118,14.0,6.0
119,14.0,7.0
120,2.0,7.0
121,2.0,6.0
122,20.0,1.0
123,10.0,5.0
124,29.0,2.0
125,22.0,3.0
126,5.0,1.0
127,5.0,2.0
128,19.0,6.0
129,22.0,6.0
130,24.0,7.0
131,19.0,7.0
132,25.0,3.0
133,3.0,2.0
134,3.0,1.0
135,28.0,1.0
136,25.0,6.0
137,6.0,6.0
138,1.0,3.0
139,28.0,7.0
140,19.0,1.0
141,2.0,5.0
142,20.0,2.0
143,18.0,1.0
144,18.0,3.0
145,16.0,5.0
146,28.0,3.0
147,21.0,3.0
148,11.0,7.0
149,20.0,5.0
150,10.0,6.0
151,10.0,7.0
152,21.0,5.0
153,8.0,6.0
154,8.0,3.0
155,8.0,7.0
156,8.0,5.0
157,5.0,6.0
158,20.0,3.0
159,17.0,6.0
160,17.0,7.0
161,27.0,1.0
162,11.0,3.0
163,9.0,6.0
164,9.0,5.0
165,9.0,7.0
166,21.0,1.0
167,7.0,7.0
168,7.0,6.0
169,14.0,3.0
170,12.0,5.0
171,26.0,6.0
172,15.0,7.0
173,15.0,6.0
