Passager,i,j
1,3.0,5.0
2,3.0,7.0
3,3.0,3.0
4,3.0,1.0
5,2.0,7.0
6,1.0,1.0
7,1.0,3.0
8,2.0,3.0
9,11.0,3.0
10,11.0,2.0
11,27.0,7.0
12,10.0,3.0
13,10.0,6.0
14,10.0,7.0
15,10.0,2.0
16,10.0,5.0
17,17.0,7.0
18,17.0,5.0
19,17.0,3.0
20,17.0,6.0
21,18.0,5.0
22,27.0,1.0
23,15.0,3.0
24,15.0,5.0
25,15.0,7.0
26,15.0,6.0
27,8.0,7.0
28,8.0,5.0
29,8.0,6.0
30,22.0,2.0
31,22.0,3.0
32,6.0,3.0
33,9.0,7.0
34,24.0,2.0
35,16.0,2.0
36,10.0,1.0
37,16.0,3.0
38,26.0,5.0
39,25.0,1.0
40,25.0,3.0
41,25.0,2.0
42,7.0,5.0
43,7.0,6.0
44,28.0,1.0
45,16.0,6.0
46,16.0,5.0
47,24.0,7.0
48,22.0,5.0
49,23.0,6.0
50,23.0,5.0
51,23.0,7.0
52,23.0,3.0
53,24.0,6.0
54,24.0,5.0
55,22.0,7.0
56,24.0,3.0
57,22.0,6.0
58,6.0,5.0
59,6.0,6.0
60,6.0,7.0
61,11.0,6.0
62,12.0,7.0
63,7.0,1.0
64,5.0,2.0
65,5.0,1.0
66,5.0,3.0
67,7.0,3.0
68,18.0,2.0
69,18.0,3.0
70,14.0,3.0
71,14.0,6.0
72,14.0,2.0
73,14.0,5.0
74,25.0,5.0
75,24.0,1.0
76,28.0,5.0
77,26.0,1.0
78,26.0,3.0
79,26.0,2.0
80,8.0,3.0
81,8.0,2.0
82,2.0,5.0
83,21.0,7.0
84,21.0,5.0
85,21.0,2.0
86,21.0,6.0
87,21.0,3.0
88,12.0,3.0
89,12.0,1.0
90,12.0,2.0
91,9.0,3.0
92,9.0,5.0
93,9.0,2.0
94,9.0,6.0
95,11.0,1.0
96,17.0,2.0
97,18.0,7.0
98,19.0,1.0
99,4.0,3.0
100,4.0,5.0
101,15.0,2.0
102,29.0,2.0
103,29.0,1.0
104,29.0,3.0
105,16.0,1.0
106,29.0,7.0
107,29.0,6.0
108,20.0,5.0
109,20.0,3.0
110,19.0,6.0
111,19.0,5.0
112,19.0,2.0
113,20.0,6.0
114,19.0,7.0
115,20.0,2.0
116,19.0,3.0
117,12.0,6.0
118,12.0,5.0
119,28.0,2.0
120,13.0,6.0
121,13.0,7.0
122,11.0,5.0
123,6.0,2.0
124,6.0,1.0
125,7.0,2.0
126,1.0,5.0
127,1.0,7.0
128,28.0,6.0
129,8.0,1.0
130,13.0,5.0
131,14.0,1.0
132,18.0,6.0
133,14.0,7.0
134,11.0,7.0
135,5.0,6.0
136,5.0,5.0
137,5.0,7.0
138,7.0,7.0
139,17.0,1.0
140,18.0,1.0
141,29.0,5.0
142,20.0,1.0
143,15.0,1.0
144,26.0,6.0
145,27.0,2.0
146,27.0,5.0
147,27.0,6.0
148,27.0,3.0
149,25.0,7.0
150,25.0,6.0
151,23.0,2.0
152,23.0,1.0
153,9.0,1.0
154,13.0,1.0
155,12.999999999992584,2.9999999999974043
156,13.0,2.0
157,22.0,1.0
158,16.0,7.0
159,28.0,3.0
