Passager,i,j
1,7.0,7.0
2,7.0,3.0
3,7.0,5.0
4,7.0,6.0
5,10.0,1.0
6,5.0,3.0
7,5.0,5.0
8,25.99999353324699,3.000001521316477
9,25.99999353324685,2.000001140993965
10,25.99999353324687,4.9999988587959185
11,25.999993533171967,5.999998098035353
12,5.0,7.0
13,10.0,7.0
14,10.0,6.0
15,18.0,3.0
16,18.0,5.0
17,28.0,1.0
18,20.0,7.0
19,23.0,1.0
20,23.0,3.0
21,2.0,3.0
22,2.0,6.0
23,2.0,5.0
24,2.0,7.0
25,2.0,2.0
26,29.0,5.0
27,13.0,6.0
28,27.0,1.0
29,12.0,2.0
30,12.0,3.0
31,6.0,3.0
32,24.0,3.0
33,24.0,5.0
34,6.000001140453043,1.999999619736169
35,6.0000011411486,1.0000003803524555
36,16.0,2.0
37,16.0,3.0
38,16.0,1.0
39,27.0,7.0
40,3.0,5.0
41,26.0,1.0
42,6.0,6.0
43,3.0,2.0
44,3.0,3.0
45,24.0,2.0
46,27.0,5.0
47,13.0,2.0
48,10.0,2.0
49,10.0,3.0
50,25.0,6.0
51,3.0,1.0
52,14.0,6.0
53,14.0,7.0
54,25.0,5.0
55,27.99999924271371,6.9999996210120266
56,6.0,7.0
57,9.000001512294322,4.999999238575062
58,4.0,2.0
59,4.0,3.0
60,4.0,1.0
61,1.0,3.0
62,1.0,2.0
63,15.0,3.0
64,28.0,3.0
65,7.0,1.0
66,17.0,3.0
67,24.0,1.0
68,12.0,6.0
69,8.0,3.0
70,7.0,2.0
71,1.0,5.0
72,1.0,6.0
73,1.0,7.0
74,8.0,2.0
75,22.0,1.0
76,6.0,5.0
77,14.0,3.0
78,13.0,1.0
79,29.0,3.0
80,29.0,2.0
81,29.0,1.0
82,25.0,1.0
83,4.0,7.0
84,2.0,1.0
85,19.0,5.0
86,27.0,3.0
87,28.0,2.0
88,8.0,5.0
89,8.0,6.0
90,8.0,7.0
91,5.0,2.0
92,5.0,1.0
93,27.0,2.0
94,13.0,7.0
95,19.0,7.0
96,15.0,1.0
97,9.000006443754646,1.0000007581422579
98,29.0,7.0
99,20.0,5.0
100,20.0,6.0
101,17.0,2.0
102,8.999998862399824,6.99999772534152
103,1.0,1.0
104,27.0,6.0
105,18.0,2.0
106,18.0,1.0
107,8.0,1.0
108,25.0,2.0
109,25.0,3.0
110,15.0,2.0
111,19.0,6.0
112,3.0,7.0
113,25.0,7.0
114,3.0,6.0
